cell_id,start_date,end_date,era5_temperature_mean,era5_temperature_min,era5_temperature_max,era5_precipitation_total,era5_wind_speed_mean,era5_wind_speed_max,era5_observation_count,era5_source_lat,era5_source_lon
cell_00_00,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_01,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_02,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_03,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_04,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_05,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_06,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_07,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_08,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_09,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_00_10,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_11,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_12,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_13,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_14,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_15,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_16,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_17,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_18,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_00_19,2024-03-01,2024-04-01,21.555872607487732,8.98206481933596,36.00371704101565,40.518086844521406,2.502331748963781,7.262026646144573,744,28.5501,77.3504
cell_01_00,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_01,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_02,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_03,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_04,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_05,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_06,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_07,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
cell_01_08,2024-03-01,2024-04-01,21.57486832321354,8.88245544433596,36.07598266601565,39.4606408415612,2.507407637498214,7.336053642667507,744,28.5501,77.2504
