cell_id,start_date,end_date,ndvi_mean,ndbi_mean,ndwi_mean,ndvi_std,ndbi_std,ndwi_std,valid_pixel_count,valid_pixel_fraction
cell_00_00,2024-03-01,2024-03-31,0.09872207475810219,0.040571829963344214,-0.16470927342679553,0.06844187379863621,0.03472158173139942,0.06340063490889604,629,1.0
cell_00_01,2024-03-01,2024-03-31,0.3869044207411526,-0.03267231022969183,-0.3989488264470867,0.24252432525030898,0.09551612436204447,0.1817118485653612,642,1.0
cell_00_02,2024-03-01,2024-03-31,0.5628681148121463,-0.07004019253339211,-0.5413666925119593,0.131952442072739,0.09648346839962242,0.07304819162145745,632,1.0
cell_00_03,2024-03-01,2024-03-31,0.5314093997997504,-0.05901166408384311,-0.5041406442737602,0.13550284470530685,0.11464105755309378,0.07915431667126209,640,1.0
cell_00_04,2024-03-01,2024-03-31,0.5319059378749664,-0.06272240863423213,-0.5020709309326638,0.11501166145612014,0.06693752362500742,0.0716963324420038,634,1.0
cell_00_05,2024-03-01,2024-03-31,0.4349138527372156,-0.04223490836367337,-0.44386426077626173,0.1660830705227949,0.0788927063655486,0.12368881043455181,637,1.0
cell_00_06,2024-03-01,2024-03-31,0.29880906667579166,-0.03284012654126011,-0.32506779280719394,0.21155808803816323,0.09952755820354318,0.16204978267411432,638,1.0
cell_00_07,2024-03-01,2024-03-31,0.2646335379170159,-0.01107712061161138,-0.31501734591299974,0.1843503853262914,0.08296311115847578,0.14682905133336208,635,1.0
cell_00_08,2024-03-01,2024-03-31,0.2841349688909141,-0.018135655466084408,-0.3436934773867031,0.1606850749396252,0.06831228435168735,0.12895928946473822,640,1.0
cell_00_09,2024-03-01,2024-03-31,0.199791212244957,0.015283773914855033,-0.2763595776187007,0.12405755784634345,0.058276928115178366,0.09747576959848252,632,1.0
cell_00_10,2024-03-01,2024-03-31,0.2428106115419052,-0.004209945354699024,-0.2834322632093324,0.22067139211900644,0.09342118506605596,0.18185175466453118,643,1.0
cell_00_11,2024-03-01,2024-03-31,0.36971439806805256,0.05571370622758477,-0.4451265608716606,0.13410708118161516,0.07837384271624069,0.10333483059743363,630,1.0
cell_00_12,2024-03-01,2024-03-31,0.29273568877763884,0.0096622942874528,-0.34229224450285267,0.18913060296181936,0.07769034341460228,0.16664303072644887,645,1.0
cell_00_13,2024-03-01,2024-03-31,0.15298126270568196,0.047303126018500466,-0.22405902982549553,0.09485488048792018,0.05199389402692327,0.0875891827674017,627,1.0
cell_00_14,2024-03-01,2024-03-31,0.12575640527546664,0.04193685430458513,-0.18802517780602512,0.07293304467862992,0.03631293117925304,0.06591033505338345,648,1.0
